Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC,QQQ,SPY,^HSI,^IXIC
Date,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,214.79725646972656,301.9091491699219,27160.630859375,9275.16015625,221.80999755859375,326.6199951171875,27160.630859375,9275.16015625,222.92999267578125,328.6300048828125,27333.30078125,9329.1201171875,220.8300018310547,326.3999938964844,27101.5390625,9249.0400390625,222.67999267578125,328.3800048828125,27101.5390625,9318.259765625,28924500.0,53888900.0,2203836100.0,2234620000.0
2020-01-30,215.562255859375,302.8889465332031,26449.130859375,9298.9296875,222.60000610351562,327.67999267578125,26449.130859375,9298.9296875,222.6999969482422,327.9100036621094,27134.55078125,9303.0,219.69000244140625,323.5400085449219,26330.05078125,9185.1796875,220.3800048828125,324.3599853515625,27030.609375,9211.150390625,39568100.0,75491800.0,2223567800.0,2345370000.0
2020-01-31,212.14389038085938,297.38909912109375,26312.630859375,9150.9404296875,219.07000732421875,321.7300109863281,26312.630859375,9150.9404296875,223.55999755859375,327.1700134277344,26818.83984375,9324.7998046875,218.2899932861328,320.7300109863281,26295.490234375,9123.2197265625,223.52999877929688,327.0,26757.609375,9324.330078125,52015800.0,113845600.0,1874255200.0,2696090000.0
2020-02-03,215.34927368164062,299.5982971191406,26356.98046875,9273.400390625,222.3800048828125,324.1199951171875,26356.98046875,9273.400390625,222.88999938964844,326.1600036621094,26512.580078125,9299.849609375,219.99000549316406,323.2200012207031,26145.58984375,9188.5498046875,220.13999938964844,323.3500061035156,26189.609375,9190.7197265625,25408600.0,69083000.0,2421482700.0,2427320000.0
2020-02-04,220.2783203125,304.1645812988281,26675.98046875,9467.9697265625,227.47000122070312,329.05999755859375,26675.98046875,9467.9697265625,227.86000061035156,330.010009765625,26730.259765625,9485.3798828125,224.64999389648438,327.7200012207031,26491.66015625,9374.0498046875,225.4199981689453,328.07000732421875,26491.66015625,9398.3896484375,30691200.0,62573200.0,2500238100.0,2447340000.0
2020-02-05,221.00462341308594,307.67706298828125,26786.740234375,9508.6796875,228.22000122070312,332.8599853515625,26786.740234375,9508.6796875,230.25,333.0899963378906,26926.119140625,9574.9404296875,226.85000610351562,330.6700134277344,26641.919921875,9454.9296875,230.2100067138672,332.2699890136719,26869.3203125,9574.099609375,38534800.0,65951100.0,2498930800.0,2470240000.0
2020-02-06,222.912353515625,308.7123718261719,27493.69921875,9572.150390625,230.19000244140625,333.9800109863281,27493.69921875,9572.150390625,230.25,334.19000244140625,27608.220703125,9575.66015625,227.97999572753906,332.79998779296875,27029.490234375,9505.6796875,228.7899932861328,333.9100036621094,27174.529296875,9540.98046875,22467100.0,50359700.0,2249533900.0,2313860000.0
2020-02-07,221.95361328125,307.0670471191406,27404.26953125,9520.509765625,229.1999969482422,332.20001220703125,27404.26953125,9520.509765625,230.44000244140625,333.989990234375,27410.580078125,9570.08984375,228.5399932861328,331.6000061035156,27224.119140625,9496.5302734375,229.16000366210938,332.82000732421875,27356.279296875,9526.6396484375,25884900.0,64139400.0,1464514700.0,2243720000.0
2020-02-10,224.63604736328125,309.3593444824219,27241.33984375,9628.3896484375,231.97000122070312,334.67999267578125,27241.33984375,9628.3896484375,231.97999572753906,334.75,27314.640625,9628.66015625,228.3800048828125,331.19000244140625,27044.880859375,9493.6298828125,228.44000244140625,331.2300109863281,27092.150390625,9493.6298828125,21478900.0,42070000.0,1612017900.0,2187520000.0
2020-02-11,224.67477416992188,309.8955078125,27583.880859375,9638.9404296875,232.00999450683594,335.260009765625,27583.880859375,9638.9404296875,234.02000427246094,337.0199890136719,27674.810546875,9714.740234375,231.39999389648438,334.67999267578125,27436.990234375,9617.2099609375,233.25,336.1600036621094,27514.25,9680.8896484375,30198000.0,54864500.0,1868625400.0,2450070000.0
